Service	Executor	Price	Category
Obshiy analiz krovi	Falonchayev Pistoncha	50000	Laboratory
Obshiy analiz mochi	Falonchayev Pistoncha	50000	Laboratory
Obshiy analiz kala	Falonchayev Pistoncha	41000	Laboratory
SOE	Falonchayev Pistoncha	23000	Laboratory
Svertmost po Suxarevu	Falonchayev Pistoncha	27000	Laboratory
A	Falonchayev Pistoncha	31000	Laboratory
B	Falonchayev Pistoncha	32000	Laboratory
C	Falonchayev Pistoncha	33000	Laboratory
D	Falonchayev Pistoncha	34000	Laboratory
E	Falonchayev Pistoncha	35000	Laboratory
F	Falonchayev Pistoncha	36000	Laboratory
G	Falonchayev Pistoncha	37000	Laboratory
H	Falonchayev Pistoncha	38000	Laboratory
I	Falonchayev Pistoncha	39000	Laboratory
J	Falonchayev Pistoncha	40000	Laboratory
K	Falonchayev Pistoncha	41000	Laboratory
L	Falonchayev Pistoncha	42000	Laboratory
M	Falonchayev Pistoncha	43000	Laboratory
N	Falonchayev Pistoncha	44000	Laboratory
